longitude	latitude	value
106.2583313	29.2566662	1.0000000
106.2591629	29.2566662	1.0000000
106.2916641	29.2566662	1.0000000
106.2925034	29.2566662	1.0000000
106.2933350	29.2566662	1.0000000
106.2941666	29.2566662	1.0000000
106.2949982	29.2566662	1.0000000
106.2958298	29.2566662	1.0000000
106.2966690	29.2566662	1.0000000
106.2975006	29.2566662	1.0000000
106.2983322	29.2566662	1.0000000
106.2991638	29.2566662	1.0000000
106.3000031	29.2566662	1.0000000
106.3008347	29.2566662	1.0000000
106.3016663	29.2566662	1.0000000
106.3024979	29.2566662	1.0000000
106.3033371	29.2566662	1.0000000
106.3041687	29.2566662	1.0000000
106.3050003	29.2566662	1.0000000
106.3058319	29.2566662	1.0000000
106.3066635	29.2566662	1.0000000
106.3075027	29.2566662	1.0000000
106.3083344	29.2566662	1.0000000
106.3091660	29.2566662	1.0000000
106.3099976	29.2566662	1.0000000
106.3866653	29.2566662	1.0000000
106.3874969	29.2566662	1.0000000
106.2533340	29.2574997	1.0000000
106.2541656	29.2574997	1.0000000
106.2549973	29.2574997	1.0000000
106.2558365	29.2574997	1.0000000
106.2566681	29.2574997	1.0000000
106.2574997	29.2574997	1.0000000
106.2583313	29.2574997	1.0000000
106.2891693	29.2574997	1.0000000
106.2900009	29.2574997	1.0000000
106.2908325	29.2574997	1.0000000
106.2916641	29.2574997	1.0000000
106.2925034	29.2574997	1.0000000
106.2933350	29.2574997	1.0000000
106.2941666	29.2574997	1.0000000
106.2949982	29.2574997	1.0000000
106.2958298	29.2574997	1.0000000
106.2966690	29.2574997	1.0000000
106.2975006	29.2574997	1.0000000
106.2983322	29.2574997	1.0000000
106.2991638	29.2574997	1.0000000
106.3000031	29.2574997	1.0000000
106.3008347	29.2574997	1.0000000
106.3016663	29.2574997	1.0000000
106.3024979	29.2574997	1.0000000
106.3033371	29.2574997	1.0000000
106.3041687	29.2574997	1.0000000
106.3050003	29.2574997	1.0000000
106.3058319	29.2574997	1.0000000
106.3066635	29.2574997	1.0000000
106.3075027	29.2574997	1.0000000
106.3083344	29.2574997	1.0000000
106.3091660	29.2574997	1.0000000
106.3099976	29.2574997	1.0000000
106.3108368	29.2574997	1.0000000
106.3116684	29.2574997	1.0000000
106.3125000	29.2574997	1.0000000
106.3133316	29.2574997	1.0000000
106.3874969	29.2574997	1.0000000
106.3883362	29.2574997	1.0000000
106.2533340	29.2583332	1.0000000
106.2541656	29.2583332	1.0000000
106.2549973	29.2583332	1.0000000
106.2558365	29.2583332	1.0000000
106.2566681	29.2583332	1.0000000
106.2574997	29.2583332	1.0000000
106.2883301	29.2583332	1.0000000
106.2891693	29.2583332	1.0000000
106.2900009	29.2583332	1.0000000
106.2908325	29.2583332	1.0000000
106.2916641	29.2583332	1.0000000
106.2925034	29.2583332	1.0000000
106.2933350	29.2583332	1.0000000
106.2941666	29.2583332	1.0000000
106.2949982	29.2583332	1.0000000
106.2958298	29.2583332	1.0000000
106.2966690	29.2583332	1.0000000
106.2975006	29.2583332	1.0000000
106.2983322	29.2583332	1.0000000
106.2991638	29.2583332	1.0000000
106.3000031	29.2583332	1.0000000
106.3008347	29.2583332	1.0000000
106.3016663	29.2583332	1.0000000
106.3024979	29.2583332	1.0000000
106.3033371	29.2583332	1.0000000
106.3041687	29.2583332	1.0000000
106.3050003	29.2583332	1.0000000
106.3058319	29.2583332	1.0000000
106.3066635	29.2583332	1.0000000
106.3075027	29.2583332	1.0000000
106.3083344	29.2583332	1.0000000
